trip_id,headway_secs
14497090-MAR19-MVS-BUS-Weekday-01,5400
14497172-MAR19-MVS-BUS-Weekday-01,600
14497183-MAR19-MVS-BUS-Weekday-01,583
14497235-MAR19-MVS-BUS-Weekday-01,600
14497246-MAR19-MVS-BUS-Weekday-01,568
14497970-MAR19-MVS-BUS-Weekday-01,900
14497984-MAR19-MVS-BUS-Weekday-01,771
14497993-MAR19-MVS-BUS-Weekday-01,1200
14498042-MAR19-MVS-BUS-Weekday-01,864
14498876-MAR19-MVS-BUS-Weekday-01,1136
14498881-MAR19-MVS-BUS-Weekday-01,1200
14498928-MAR19-MVS-BUS-Weekday-01,720
14498937-MAR19-MVS-BUS-Weekday-01,1200
14499224-MAR19-MVS-BUS-Weekday-01,830
14499235-MAR19-MVS-BUS-Weekday-01,720
14499237-MAR19-MVS-BUS-Weekday-01,864
14499261-MAR19-MVS-BUS-Weekday-01,830
14499627-MAR19-MVS-BUS-Weekday-01,1800
14499677-MAR19-MVS-BUS-Weekday-01,568
14499699-MAR19-MVS-BUS-Weekday-01,7200
14499700-MAR19-MVS-BUS-Weekday-01,21600
14499723-MAR19-MVS-BUS-Weekday-01,830
14499738-MAR19-MVS-BUS-Weekday-01,800
14500878-MAR19-MVS-BUS-Weekday-01,1800
14502617-MAR19-MVS-BUS-Weekday-01,2700
14502622-MAR19-MVS-BUS-Weekday-01,10800
14502626-MAR19-MVS-BUS-Weekday-01,600
14502686-MAR19-MVS-BUS-Weekday-01,1200
14502687-MAR19-MVS-BUS-Weekday-01,1200
14502688-MAR19-MVS-BUS-Weekday-01,1136
14502698-MAR19-MVS-BUS-Weekday-01,981
14503449-MAR19-MVS-BUS-Weekday-01,3600
14503625-MAR19-MVS-BUS-Weekday-01,600
14503643-MAR19-MVS-BUS-Weekday-01,600
14503725-MAR19-MVS-BUS-Weekday-01,600
14503743-MAR19-MVS-BUS-Weekday-01,600
14504358-MAR19-MVS-BUS-Weekday-01,1200
14504372-MAR19-MVS-BUS-Weekday-01,5400
14504378-MAR19-MVS-BUS-Weekday-01,3600
14935315-MAR19-MVS-BUS-Weekday-01,440
14935324-MAR19-MVS-BUS-Weekday-01,450
14935439-MAR19-MVS-BUS-Weekday-01,490
14935454-MAR19-MVS-BUS-Weekday-01,450
14477200-MAR19-MVS-NS-Weekday-01,3600
14477209-MAR19-MVS-NS-Weekday-01-0000100,21600
14477210-MAR19-MVS-NS-Weekday-01-0000100,21600
14477211-MAR19-MVS-NS-Weekday-01,10800
14477222-MAR19-MVS-NS-Weekday-01,10800
14477230-MAR19-MVS-NS-Weekday-01,3600
14580799-MAR19-MVS-SUB-Weekday-01,3600
14580802-MAR19-MVS-SUB-Weekday-01,2700
14580808-MAR19-MVS-SUB-Weekday-01,3085
14580826-MAR19-MVS-SUB-Weekday-01,1542
14580846-MAR19-MVS-SUB-Weekday-01,450
