"n","x","y","geometrysou","centroid","external"
528,483219.40003,4957206.46262,1,1,0
529,483605.11489,4958691.56835,1,1,0
530,483150.49249,4959221.05267,1,1,0
531,482607.17895,4960468.6417,1,1,0
532,483172.21515,4960461.14208,1,1,0
533,483925.98881,4959973.8312,1,1,0
534,484114.73773,4960792.73206,1,1,0
535,485273.88056,4962313.02366,1,1,0
536,484171.65311,4962345.04595,1,1,0
537,484091.54878,4961551.75777,1,1,0
538,483111.29224,4961994.58962,1,1,0
539,482339.34887,4961778.35056,1,1,0
540,482221.00971,4960485.72724,1,1,0
541,481585.92356,4960265.58962,1,1,0
542,481561.65691,4961772.94366,1,1,0
543,480777.19083,4960514.53965,1,1,0
544,479445.90009,4960153.29977,1,1,0
545,479256.7869,4961232.17379,1,1,0
546,477609.73217,4958533.8245,1,1,0
547,477582.14937,4957804.96429,1,1,0
548,478495.79833,4958213.10385,1,1,0
549,478429.59601,4958955.45405,1,1,0
550,479580.5917,4959333.8342,1,1,0
551,479228.9728,4958528.57466,1,1,0
552,479952.88285,4958553.12997,1,1,0
553,480782.52595,4958801.31667,1,1,0
554,481576.33606,4958831.72818,1,1,0
555,482342.42775,4958804.44399,1,1,0
556,481089.22027,4957405.99015,1,1,0
557,479982.55814,4957325.69233,1,1,0
558,478834.73359,4957574.34364,1,1,0
559,478935.08473,4956806.05677,1,1,0
560,478995.09797,4956076.81518,1,1,0
561,478430.91602,4955208.21822,1,1,0
562,477746.38729,4954986.54084,1,1,0
563,477603.53416,4956552.93171,1,1,0
564,475709.69303,4959099.27014,1,1,0
565,474694.77564,4957727.70289,1,1,0
566,476436.1338,4957371.91648,1,1,0
567,476693.64784,4956607.87293,1,1,0
568,475541.74854,4956671.11328,1,1,0
569,474751.94108,4956569.51082,1,1,0
570,474340.04253,4955661.58405,1,1,0
571,475496.66308,4955338.48799,1,1,0
572,476557.08857,4955638.64574,1,1,0
573,476483.53075,4955039.24076,1,1,0
574,477150.01613,4955118.83652,1,1,0
575,477235.19647,4954441.74046,1,1,0
576,476551.41033,4954293.9634,1,1,0
577,475557.36324,4954400.40726,1,1,0
578,474870.80558,4954074.32515,1,1,0
579,474182.48428,4954070.4178,1,1,0
580,474731.26975,4952583.55439,1,1,0
581,475903.1879,4952717.4005,1,1,0
582,476986.24847,4953520.35937,1,1,0
583,477014.13926,4952252.05705,1,1,0
584,478868.39652,4952725.84043,1,1,0
585,478011.21923,4953272.63369,1,1,0
586,478181.88406,4953982.19822,1,1,0
587,479031.9577,4954652.60383,1,1,0
588,479268.05239,4953557.82297,1,1,0
589,480019.45942,4952531.64259,1,1,0
590,480725.27008,4952427.14716,1,1,0
591,481933.74467,4952035.00498,1,1,0
592,481918.62426,4952844.05752,1,1,0
593,482446.38339,4953527.70771,1,1,0
594,482563.36263,4954403.81171,1,1,0
595,481955.82492,4954404.45268,1,1,0
596,481568.84957,4953876.10328,1,1,0
597,480716.35632,4954284.99877,1,1,0
598,479978.58126,4954705.94555,1,1,0
599,481747.5456,4956955.5689,1,1,0
600,481889.19429,4956333.66058,1,1,0
601,481856.51939,4955437.84198,1,1,0
602,483173.28086,4955550.71024,1,1,0
603,484426.33546,4955638.91027,1,1,0
604,485558.70449,4955294.52254,1,1,0
605,486063.89781,4956371.12903,1,1,0
606,486862.17534,4955474.69592,1,1,0
607,486808.30398,4953988.44539,1,1,0
608,485594.40534,4953997.67243,1,1,0
609,484812.3883,4953940.07382,1,1,0
610,484017.24575,4954049.34168,1,1,0
611,483169.16661,4953997.0624,1,1,0
612,483184.75421,4952939.65497,1,1,0
613,483109.16487,4952402.98098,1,1,0
614,483197.93383,4951858.61269,1,1,0
615,483936.49833,4951859.70094,1,1,0
616,483985.55411,4952388.00989,1,1,0
617,483964.11136,4952922.73411,1,1,0
618,485174.4577,4952381.25622,1,1,0
619,486799.73751,4952375.30325,1,1,0
620,488022.54967,4954022.34725,1,1,0
621,487993.17394,4956260.98487,1,1,0
622,489476.48227,4956158.24746,1,1,0
623,491029.18224,4956824.81969,1,1,0
624,492442.26874,4956816.21657,1,1,0
625,494416.5078,4955933.1923,1,1,0
626,492213.12039,4954423.07303,1,1,0
627,491160.67578,4954739.5514,1,1,0
628,491990.52943,4955331.34937,1,1,0
629,490529.35229,4955577.70627,1,1,0
630,490251.34504,4954654.8087,1,1,0
631,489264.68834,4954618.32142,1,1,0
632,490565.77214,4953607.91631,1,1,0
633,489198.97576,4953572.07464,1,1,0
634,489435.90031,4952346.98551,1,1,0
635,488782.03857,4952366.19905,1,1,0
636,487995.39317,4952362.78648,1,1,0
637,486805.33649,4950770.49538,1,1,0
638,486760.2588,4949315.03587,1,1,0
639,486956.72447,4947182.71313,1,1,0
640,488064.18716,4944550.91641,1,1,0
641,488324.68638,4942492.67134,1,1,0
642,485092.63713,4942569.39792,1,1,0
643,486634.415,4944304.0716,1,1,0
644,484533.94249,4944423.50488,1,1,0
645,485189.85566,4947226.16988,1,1,0
646,485191.57498,4949233.07772,1,1,0
647,483756.93122,4949269.20709,1,1,0
648,485309.45146,4950498.69331,1,1,0
649,484996.73859,4951206.82293,1,1,0
650,483527.63174,4951209.7573,1,1,0
651,483683.64409,4950557.79917,1,1,0
652,483133.21892,4949900.87484,1,1,0
653,481982.61429,4949549.52777,1,1,0
654,481805.42344,4950534.88731,1,1,0
655,481862.57687,4951245.30946,1,1,0
656,480301.04178,4951138.97839,1,1,0
657,480343.33644,4949985.06622,1,1,0
658,480228.62806,4948520.05576,1,1,0
659,478437.23741,4949976.99507,1,1,0
660,478473.46211,4950996.96059,1,1,0
661,478689.87215,4951750.03728,1,1,0
662,477089.46351,4950670.72038,1,1,0
663,475812.8461,4949558.89812,1,1,0
