route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,agency_raw_name,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,stop_distance,stop_is_skipped,arrival_h,arrival_m,departure_h,departure_m,tod,index,trip_num_for_shape,trip_num_total,num_pattern,trip_num_N_most,number_of_stops
6-95,AUG19-MVS-BUS-Weekday-01,15244770-AUG19-MVS-BUS-Weekday-01,Southbound 6D  Southdale/France Av,1,1201,60005,1.0,MT2019,,,,,,49920.0,49920.0,56171,1,0,0,1,,,13,52,13,52,op,994,11,35,2,27,79
6-95,AUG19-MVS-BUS-Weekday-01,15244828-AUG19-MVS-BUS-Weekday-01,Southbound 6G Xerxes - 50St,1,1185,60017,1.0,MT2019,,,,,,27180.0,27180.0,53068,1,0,0,1,,,7,33,7,33,pk,985,7,25,2,12,43
19-95,AUG19-MVS-BUS-Weekday-01,15244961-AUG19-MVS-BUS-Weekday-01,Northbound 19B  Penn Av / Olson Hwy / Brklyn Ctr Tc,0,1397,190002,1.0,MT2019,,,,,,29640.0,29640.0,56803,1,0,1,1,,,8,14,8,14,pk,1381,6,6,1,6,56
19-95,AUG19-MVS-BUS-Weekday-01,15244965-AUG19-MVS-BUS-Weekday-01,Northbound 19B  Penn Av / Olson Hwy / Brklyn Ctr Tc,0,1402,190002,1.0,MT2019,,,,,,45540.0,45540.0,56803,1,0,1,1,,,12,39,12,39,op,1387,12,12,1,12,56
19-95,AUG19-MVS-BUS-Weekday-01,15244977-AUG19-MVS-BUS-Weekday-01,Southbound 19 Downtown / Via Thomas,1,1396,190003,1.0,MT2019,,,,,,22020.0,22020.0,56827,1,0,0,1,,,6,7,6,7,pk,1379,5,6,2,6,60
19-95,AUG19-MVS-BUS-Weekday-01,15244999-AUG19-MVS-BUS-Weekday-01,Southbound 19  Downtown,1,1398,190001,1.0,MT2019,,,,,,31020.0,31020.0,56827,1,0,0,1,,,8,37,8,37,pk,1380,1,6,2,6,56
19-95,AUG19-MVS-BUS-Weekday-01,15245000-AUG19-MVS-BUS-Weekday-01,Southbound 19  Downtown,1,1397,190001,1.0,MT2019,,,,,,32820.0,32820.0,56827,1,0,0,1,,,9,7,9,7,op,1386,12,12,1,12,56
61-95,AUG19-MVS-BUS-Weekday-01,15245028-AUG19-MVS-BUS-Weekday-01,Eastbound 61  Henn-Larp/Dwtn St Paul/Via Arcade,0,1572,610009,1.0,MT2019,,,,,,21780.0,21780.0,42837,1,1,1,1,,,6,3,6,3,pk,965,3,7,2,6,114
61-95,AUG19-MVS-BUS-Weekday-01,15245030-AUG19-MVS-BUS-Weekday-01,Eastbound 61B  Henn-Larp/Dwtn St Paul/Via Indust,0,1571,610010,1.0,MT2019,,,,,,26520.0,26520.0,42837,1,1,1,1,,,7,22,7,22,pk,966,3,7,2,6,126
61-95,AUG19-MVS-BUS-Weekday-01,15245033-AUG19-MVS-BUS-Weekday-01,Eastbound 61  Henn-Larp/Dwtn St Paul/Via Arcade,0,1572,610009,1.0,MT2019,,,,,,32580.0,32580.0,42837,1,1,1,1,,,9,3,9,3,op,973,13,14,2,14,114
61-95,AUG19-MVS-BUS-Weekday-01,15245058-AUG19-MVS-BUS-Weekday-01,Westbound 61  Henn-Larp / Dwtn Mpls / Via  Arcade,1,1571,610007,1.0,MT2019,,,,,,21720.0,21720.0,52761,1,1,1,1,,,6,2,6,2,pk,963,9,10,2,10,113
61-95,AUG19-MVS-BUS-Weekday-01,15245066-AUG19-MVS-BUS-Weekday-01,Westbound 61  Henn-Larp / Dwtn Mpls / Via  Arcade,1,1574,610007,1.0,MT2019,,,,,,34020.0,34020.0,52761,1,1,1,1,,,9,27,9,27,op,971,9,11,2,11,113
61-95,AUG19-MVS-BUS-Weekday-01,15245075-AUG19-MVS-BUS-Weekday-01,Westbound 61B  Henn-Larp/Dwtn Mpls/Via Industrial,1,1576,610006,1.0,MT2019,,,,,,52320.0,52320.0,52761,1,1,1,1,,,14,32,14,32,op,972,2,11,2,11,125
