route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_raw_name
645-95,0,645,Ltd Stop - Mound - Wayzata - Ridgedale - Mpls,,3,http://www.metrotransit.org/route/645,,000000,MT2019
652-95,0,652,Express - Plymouth Rd - Co Rd 73 P&R - U of M,,3,http://www.metrotransit.org/route/652,,000000,MT2019
663-95,0,663,Express - Cedar Lake Rd - Mpls,,3,http://www.metrotransit.org/route/663,,000000,MT2019
664-95,0,664,Express - Hopkins - Excelsior Blvd - Mpls,,3,http://www.metrotransit.org/route/664,,000000,MT2019
667-95,0,667,Express - Minnetonka - St Louis Park - Mpls,,3,http://www.metrotransit.org/route/667,,000000,MT2019
668-95,0,668,Express - Hopkins - St Louis Park - Mpls,,3,http://www.metrotransit.org/route/668,,000000,MT2019
670-95,2,670,Express - Excelsior - Mpls,,3,http://www.metrotransit.org/route/670,,000000,MT2019
671-95,2,671,Express - Excelsior - Deephaven - Mpls,,3,http://www.metrotransit.org/route/671,,000000,MT2019
672-95,0,672,Express - Wayzata - Minnetonka - Mpls,,3,http://www.metrotransit.org/route/672,,000000,MT2019
673-95,0,673,Express - Co Rd 73 P&R - Mpls,,3,http://www.metrotransit.org/route/673,,000000,MT2019
674-95,0,674,Express - Maple Plain -Orono - Wayzata - Mpls,,3,http://www.metrotransit.org/route/674,,000000,MT2019
677-95,0,677,Express- Mound - Orono - Plymouth Rd - Mpls,,3,http://www.metrotransit.org/route/677,,000000,MT2019
690-95,6,690,SW Transit - Express - Eden Prairie - Mpls,,3,http://www.metrotransit.org/route/690,,000000,MT2019
695-95,6,695,SW Transit - Express - Chaska - Chanhassen - Mpls,,3,http://www.metrotransit.org/route/695,,000000,MT2019
697-95,6,697,SW Transit - Express - Carver - Chaska - Mpls,,3,http://www.metrotransit.org/route/697,,000000,MT2019
698-95,6,698,SW Transit - Express - Chaska - Chanhassen - Mpls,,3,http://www.metrotransit.org/route/698,,000000,MT2019
699-95,6,699,SW Transit - Express - Chanhassen - Mpls,,3,http://www.metrotransit.org/route/699,,000000,MT2019
705-95,2,705,Starlite - Winnetka Av - Louisiana Av Transit Ctr,,3,http://www.metrotransit.org/route/705,,000000,MT2019
716-95,2,716,Zane Av - 63rd Av - Crystal - Robbinsdale,,3,http://www.metrotransit.org/route/716,,000000,MT2019
717-95,2,717,Brooklyn Center - Robbinsdale - Plymouth,,3,http://www.metrotransit.org/route/717,,000000,MT2019
721-95,0,721,Ltd Stop - Brooklyn Center - Target Campus - Mpls,,3,http://www.metrotransit.org/route/721,,000000,MT2019
